frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.15764466,-0.5166904999999999,-0.16127262,-0.10266178,-0.13202144,0.050214607,-0.12292561,0.31174716,0.01827502,0.10994308400000001,0.29714715,-0.05659132,0.15658368,-0.11649912,0.011346186999999999,0.19403566,-0.51771605,-0.18257418,-0.08609985,0.5441376,0.22096437,-0.24497601,0.6389077,0.044337757,-0.027951296,0.8100033,0.09030135,0.23895502,0.7241960999999999,-0.054326497,0.23044313,0.4806916,-0.20243539,0.2710242,0.42728585,0.041741766,0.14432274,0.82401294,0.04995854,0.23052296,1.0272222,0.10913236400000001,0.26238233,0.90274394,0.20449972,0.28460345,0.9447998,0.15971893,0.22670346,0.9563853999999999,0.19325021,0.27359414,0.9426568999999999,0.053416062,0.13894123,0.97063446,0.12940729,-0.0064912624657154075,0.3044471740722656,-0.019158151000738144
2,-0.13941921,-0.5249746,-0.17308642,-0.10653302,-0.13665676,0.03992123,-0.12474251,0.30887902,0.01364935,0.1113519,0.29487154,-0.052098762,0.16568509,-0.11742947,0.01264696,0.21694095,-0.52429223,-0.17054783,-0.092489846,0.52509075,0.19871452,-0.24886993,0.6539274,0.039400946,-0.021317472999999997,0.808924,0.09189045,0.24695029999999998,0.71290183,-0.04075534,0.2552497,0.46500325,-0.18293613,0.28227746,0.43206206,0.067553565,0.15107399,0.81478614,0.057081364,0.2405049,1.0141987,0.11253507,0.27201915,0.8907001,0.2093939,0.29406062,0.9315803,0.16369992,0.23716253,0.9447542999999999,0.19817111,0.28079322,0.92801833,0.058118295,0.1484733,0.9596008,0.13582586,-0.006695304065942764,0.3018752932548523,-0.01922470703721046
3,-0.12526366,-0.5269836999999999,-0.16349767,-0.10971194,-0.13811398,0.05417138,-0.12587339,0.30673844,0.011490528,0.11165487,0.2941361,-0.05467867,0.17798752,-0.11379004,0.023122147000000003,0.23286784,-0.5222251,-0.16125843,-0.1165728,0.5182917,0.19152635,-0.2592809,0.67257327,0.040147588,-0.01846147,0.80240995,0.10815464,0.24700217,0.70626044,-0.03137053,0.24863732,0.46675494,-0.18841045,0.28552544,0.42895308,0.06100356,0.15359858,0.805772,0.071779996,0.24207217,1.0033964,0.12431596,0.27206042,0.88298905,0.22519188,0.2949226,0.9225978000000001,0.17887929,0.23726597,0.93652695,0.21172193,0.28418484,0.9158648000000001,0.07332608,0.15012023,0.9491427,0.14725913,-0.007109258323907851,0.3004372715950012,-0.02159407176077366
4,-0.11921969,-0.5357108,-0.14078833,-0.11389615,-0.13883223,0.062434795999999994,-0.12606336,0.30276716,0.010127559,0.11237207,0.29006565,-0.05700943,0.18580735,-0.10547486,0.060103912,0.22219443,-0.5195698000000001,-0.11507469,-0.12922955,0.49896467,0.20643418,-0.27354348,0.65303576,0.057549287000000005,-0.028578767999999997,0.7814196,0.12319014,0.24111523,0.70076245,-0.017812613,0.2564981,0.47397566,-0.1932973,0.29509756,0.41232005,0.050454132,0.14384654,0.79233146,0.08800564,0.22912998,0.9888741,0.14890507,0.26378515,0.86358106,0.24080059999999998,0.28471184,0.90582776,0.19652550000000002,0.22828904,0.9171799,0.23213768,0.27008086,0.9054984,0.09204882,0.13905859,0.9328721,0.1720547,-0.006845645606517793,0.2964164018630981,-0.023440934717655185
5,-0.10933678599999999,-0.53944266,-0.13225770000000003,-0.1178373,-0.13840126,0.061924875,-0.12646075,0.30224958,0.009532431,0.112832904,0.29004455,-0.058317594,0.19344574,-0.100307025,0.07013555,0.20432734,-0.5113792,-0.11352877,-0.14974009,0.50113326,0.15267013,-0.29387745,0.68283856,0.037011035,-0.03674412,0.7859752,0.109480955,0.23751068,0.7059986999999999,-0.024519004,0.27970900000000004,0.49042305,-0.2120384,0.27551043,0.40460625,0.028289957,0.13595454,0.7962381,0.077285185,0.21923249999999997,0.9950559000000001,0.13248527,0.25365046,0.873242,0.22897168,0.27475038,0.91405255,0.18351234,0.21806733,0.9263761,0.21823557,0.26110765,0.9099149999999999,0.07921057,0.12915957,0.9396017,0.15663841,-0.00681392103433609,0.2961470484733581,-0.02439258247613907
6,-0.12246649,-0.5355134,-0.13243179,-0.1354724,-0.13194008,0.046332907,-0.12632602,0.3058802,0.0040346570000000005,0.11375868,0.29069924,-0.050701052,0.19136308,-0.09773712,0.07308807,0.18333416,-0.5016609999999999,-0.11588776,-0.17803921,0.59026015,0.17591757,-0.30230734,0.7257134,-0.0017156322,-0.039603703,0.8043710000000001,0.074325316,0.24122076,0.71048224,-0.01895243,0.29943383,0.49028036,-0.19304714,0.2778454,0.3888395,0.037296157,0.1322412,0.80619216,0.06563097,0.21779703,1.0016668,0.1376249,0.22954328,0.87489355,0.2326431,0.25956103,0.91547024,0.19260225,0.19935015,0.9306574000000001,0.21895355,0.2614476,0.9159502,0.0873664,0.12145128,0.95208454,0.14555955,-0.006283670663833618,0.2982897162437439,-0.023333197459578514
7,-0.11861232,-0.5420292,-0.11403800000000001,-0.13029842,-0.13407946,0.06300578,-0.12758915,0.3040445,-0.004849831,0.11771111,0.28378054,-0.046756882,0.16138466,-0.10205537,0.12122101,0.13293828,-0.46815732,-0.13257375,-0.20279149999999999,0.6115696,0.20958203,-0.30101556,0.6828265,-0.014950635,-0.051384325999999994,0.78855056,0.07360132,0.23673995,0.7114898000000001,-0.00733433,0.30086112,0.5012658,-0.18939779999999998,0.3062975,0.40730208,0.04556096,0.12033311,0.79967415,0.07393234,0.19066784,0.9975273000000001,0.14742093,0.20197007,0.87413704,0.24650595,0.232877,0.91502583,0.20763296,0.17021689999999998,0.9277853000000001,0.2292234,0.24209905,0.91315484,0.10290472,0.09712397,0.9430896999999999,0.15042281,-0.004939019680023193,0.29391252994537354,-0.02580335736274719
8,-0.11833823,-0.5361066999999999,-0.1727003,-0.121754326,-0.13375261,0.01668435,-0.12679964,0.31115755,-7.130345000000001e-05,0.11632299,0.2919285,-0.040981635,0.14187989,-0.12341389,0.057627685,0.11563645,-0.47654492,-0.2153045,-0.20203418,0.679921,0.17356502,-0.27922022,0.6927165,-0.06710904,-0.05434981,0.8213014000000001,0.04568944,0.23017886,0.7475965,-0.021043167,0.28777382,0.53602815,-0.20104802,0.31895643,0.46583209999999997,0.03891657,0.11398538,0.8333851999999999,0.057174705,0.18316258,1.0318093000000002,0.14140216,0.1888616,0.90402883,0.23802814,0.22173247,0.9466286,0.20137487,0.15781996,0.9589341,0.22012438,0.23671058,0.94787693,0.09610624599999999,0.088099375,0.9771654000000001,0.13705531,-0.005238328129053116,0.3015430271625519,-0.020526468753814697
9,-0.11108147,-0.52026653,-0.23258609,-0.1112156,-0.12896413,-0.026714576,-0.12497729,0.31685835,0.0010490534,0.11539245,0.28875577,-0.029951274,0.08212227,-0.13786943,-0.027411887000000003,0.06653538,-0.5276024,-0.24292767,-0.2655598,0.6623604999999999,0.1572044,-0.24189201,0.6954292,-0.09165793,-0.038249637999999996,0.83731884,0.032280512000000004,0.24081981,0.7646978,-0.016074529,0.3047477,0.5519609000000001,-0.18712798,0.34458447,0.47319609999999995,0.047548003,0.12324795,0.8493376,0.05413356,0.17198585,1.0543485000000001,0.12982729,0.17045525,0.9360470999999999,0.23997067,0.20604002,0.9781695,0.20439434,0.138978,0.9865148000000001,0.2113202,0.23833458,0.97032416,0.102063425,0.08303985,0.9912844999999999,0.11668827,-0.00479242205619812,0.3028070628643036,-0.014451110735535622
10,-0.10423164,-0.5368857,-0.20474261,-0.1022035,-0.13175663,-0.032290865,-0.12448792,0.31088936,-0.00036223326,0.11524846400000001,0.28244564,-0.022844758,0.058521178,-0.14080507,-0.048449032,0.025721757,-0.5511781,-0.21165170000000003,-0.27326740000000005,0.6107333,0.10955351599999999,-0.2296721,0.6678151,-0.13167068,-0.047525115,0.8345798000000001,-0.018628359,0.22995704,0.765215,-0.040726207,0.32407486,0.52608496,-0.14484183,0.3427428,0.50752145,0.102935076,0.10738879999999999,0.851269,0.008328081999999999,0.15075970000000002,1.0606576,0.06568380000000001,0.14049262,0.95214784,0.18536735,0.17871206,0.9911308000000001,0.14961857,0.111414105,0.9997215,0.15084824,0.21780248,0.9753078000000002,0.0510377,0.06347104,0.9964129,0.052219762999999995,-0.004619728773832321,0.2966675162315369,-0.011603495106101036
